x,y,cluster
2.194789,7.597410,0
2.674558,8.109395,0
3.577840,8.518991,0
5.086935,8.173621,0
1.907569,5.706815,0
5.042754,6.120078,2
5.251039,7.940958,2
3.973590,5.929589,2
3.831013,6.417374,2
1.278038,7.639459,0
1.926886,6.264986,0
1.794505,6.273867,0
4.091603,4.720123,2
2.728467,7.928191,0
4.464286,5.802521,2
3.239647,4.998369,2
4.229283,5.047649,2
5.463577,8.677440,0
2.710158,4.519591,2
4.498503,6.099313,2
5.206174,6.411340,2
1.954641,6.693792,0
3.932532,5.197314,2
1.564998,4.658320,0
2.202493,5.902901,0
2.737513,7.239737,0
1.060256,5.900068,0
2.720746,6.986045,0
4.913609,8.720244,0
2.531570,7.021653,0
3.169361,6.340342,0
3.698046,8.056045,0
3.220936,7.660285,0
1.837979,8.566797,0
4.723180,7.928808,0
4.008100,7.023613,0
4.574079,7.654581,0
1.485746,7.738674,0
4.256699,5.528311,2
2.850735,6.705450,0
4.694258,8.726960,0
3.911771,8.415075,0
4.523197,4.944136,2
3.488663,8.532527,0
3.383738,8.553504,0
4.552103,8.892500,0
1.104990,7.259031,0
3.147535,6.998122,0
4.295412,6.350387,2
4.117292,7.669973,0
3.149288,5.272304,2
4.875443,6.955459,2
2.971437,5.499027,2
2.101588,8.547975,0
1.318056,8.886990,0
1.447598,5.655814,0
2.423223,8.694913,0
3.333854,7.663322,0
3.979023,4.631163,2
2.830736,8.393083,0
5.107942,8.950241,0
2.321215,7.931494,0
3.065796,5.051686,2
2.495776,5.798419,0
3.928917,6.896372,0
2.161076,7.781146,0
3.153454,6.786814,0
4.448398,8.610220,0
1.379111,8.402087,0
4.938946,6.343995,2
2.525828,7.289181,0
4.777482,8.898834,0
2.560076,5.609714,0
2.501987,4.736422,2
3.143581,7.548896,0
5.014893,5.135171,2
4.889528,6.017289,2
2.754953,7.137129,0
4.497943,6.227602,2
5.322781,4.922667,2
2.955968,7.202312,0
4.206316,5.948501,2
2.799975,6.362438,0
2.464085,4.711592,2
4.406892,5.048344,2
1.912115,7.028673,0
4.200046,8.940074,0
1.547614,5.861649,0
2.104698,7.761704,0
1.644870,5.601089,0
2.078332,7.561017,0
1.265205,7.871215,0
3.890297,5.475457,2
4.943211,4.886868,2
4.505116,7.336092,2
4.587890,7.649730,0
3.048735,8.857891,0
2.845378,5.108129,2
4.648916,6.947415,2
3.722200,4.914077,2
3.946258,5.573801,2
2.589388,8.145194,0
2.216171,7.546585,0
5.467078,6.149943,2
3.850720,8.485970,0
1.959437,6.771872,0
1.582176,8.200459,0
3.151531,7.036370,0
5.158335,4.843973,2
3.694424,8.789855,0
5.392768,4.562440,2
4.293066,7.716408,0
2.605271,7.441211,0
2.941632,5.680432,0
1.666952,6.409368,0
1.058849,5.356716,0
4.220047,5.101029,2
1.464329,6.601881,0
3.008280,6.954579,0
3.880455,7.154641,0
5.463274,8.455982,2
3.230171,5.858301,2
3.179573,6.517228,0
1.780491,4.926565,0
4.396694,7.862913,0
3.042530,4.961207,2
3.300264,7.236049,0
1.933953,8.688433,0
2.028962,5.293371,0
3.680704,5.265087,2
3.586925,6.995952,0
1.346790,6.351279,0
1.159933,8.959426,0
3.892580,5.858384,2
5.178768,6.703669,2
3.691416,4.895532,2
3.524053,8.579110,0
3.367125,5.382216,2
5.432929,6.374495,2
3.284388,8.135163,0
4.072546,4.750859,2
3.706935,8.083976,0
2.074909,5.121764,0
2.161747,5.287203,0
4.281893,8.613411,0
3.036569,6.598162,0
1.788070,7.313365,0
4.360142,6.342293,2
1.472444,5.486498,0
4.890452,8.932399,0
3.765902,5.876926,2
3.507218,4.987978,2
2.479498,5.624294,0
3.039092,6.060626,0
3.251984,5.493003,2
1.813899,7.487548,0
3.383338,5.309662,2
1.338741,7.861610,0
2.249902,5.965028,0
1.957148,8.538438,0
2.281557,6.524613,0
5.027923,8.755901,0
3.008059,6.079749,0
4.509932,8.420896,0
4.962786,6.137370,2
2.859059,7.030378,0
1.287138,8.153489,0
2.509694,5.157582,0
4.256767,8.774798,0
2.519269,6.989233,0
3.836864,5.649043,2
4.782765,5.879344,2
4.852592,5.836860,2
2.761117,7.052574,0
2.712222,6.757773,0
5.029504,8.077587,2
3.899421,8.699921,0
4.334854,7.019932,2
3.723866,8.424664,0
5.063867,6.819659,2
2.321786,8.248332,0
1.860670,5.212307,0
4.989029,4.787597,2
3.265028,6.355940,0
4.946759,7.451406,2
1.851371,5.004783,0
4.411464,6.319448,2
4.260245,7.005946,2
5.246762,5.687722,2
3.464410,5.904491,2
4.202847,5.603306,2
2.750073,8.144872,0
1.453929,8.535510,0
5.172859,5.908491,2
2.274546,5.931450,0
3.657579,6.930671,0
1.496623,8.606840,0
4.782282,6.400250,2
2.430837,8.598803,0
4.522831,6.975208,2
2.203787,6.676088,0
1.983904,8.020611,0
3.325586,8.780450,0
2.210278,4.537682,2
1.815257,7.404418,0
3.333593,5.880081,2
3.532523,6.478155,0
1.581206,4.676640,0
2.153654,8.762470,0
4.230709,7.269027,0
5.326345,4.986548,2
1.450634,8.153179,0
4.434502,8.002812,0
5.265849,7.568479,2
4.683856,6.385103,2
2.387315,6.276734,0
3.923108,8.651566,0
5.290100,7.519432,2
5.291797,6.025162,2
2.529906,5.345392,0
2.181133,8.640564,0
1.744543,7.531087,0
2.449756,8.748747,0
3.295563,6.376235,0
5.157858,5.482290,2
3.299319,4.934422,2
2.159296,5.710969,0
1.209074,5.456054,0
2.880353,6.948632,0
4.843007,7.442527,2
2.562538,5.160069,2
1.591490,6.694342,0
2.685191,7.238305,0
3.841391,5.775568,2
2.755355,5.238504,2
4.103325,6.212709,2
4.102360,6.316773,2
3.497053,7.432877,0
2.933310,8.923764,0
3.037240,5.978281,0
2.378995,7.824545,0
3.602593,8.997706,0
5.096666,5.573974,2
1.641718,7.084759,0
2.867714,7.249347,0
1.949166,8.936592,0
2.929377,8.706397,0
1.597105,6.784386,0
3.070434,4.538453,2
